,author,author_email,id,isopen,license_id,license_title,license_url,maintainer,maintainer_email,metadata_created,metadata_modified,name,notes,num_resources,num_tags,owner_org,private,revision_id,state,title,type,url,version
215,Eva Blomqvist,eva.blomqvist@liu.se,9fc6535d-14ae-4329-b3fd-2ebeb91d72bd,False,notspecified,License not specified,,Eva Blomqvist,eva.blomqvist@liu.se,2013-10-08T08:04:21.436420,2014-09-23T12:30:09.655420,energy-efficiency,"This is a linked dataset (in RDF) for demonstrating the power of linked data, through linking data about energy efficiency assessments from Sweden and the US. Additionally, the dataset links to other linked datasources in Sweden, such as the SNI-codes and LKF-datasets from Statistics Sweden (SCB). 

The data itself is constructed by transforming and re-publishing parts of three existing open datasets; results from the PFE and EKC projects at the Swedish Energy Agency, and the IAC assessment and recommendation database. It contains information primarily about suggested (and/or implemented) measures for energy efficiency improvements, including data about the amount of energy saved, costs involved, the nature of the improvement and measure taken, as well as basic information of the assessed organization. ",3,7,2ddf099f-7d9b-4104-a418-c8505a32091a,False,dcde725e-7a1d-4c09-8835-be38f3894c16,active,Energy efficiency assessments and improvements,dataset,,
216,Amelie Gyrard,gyrard@eurecom.fr,19c60397-af32-4665-918c-cecefa0b5ebc,False,notspecified,License not specified,,Amelie Gyrard,gyrard@eurecom.fr,2013-05-14T22:05:06.043004,2014-09-17T13:23:13.944231,stac,"A dataset to describe security mechanisms: security protocols, security tools, cryptographic concepts (encryption algorithms, hash functions, key management, etc.) in various technologies (cellular, 3G, 4G, WiFi, sensor networks, web applications, network management, databases, frameworks, programming language, etc.)",2,39,9076be94-fbdb-49f3-83d9-e94c2ec88ff7,False,26595ec9-a240-4980-afa2-87f46c5251e7,active,STAC,dataset,http://securitytoolbox.appspot.com/,1.0
217,Amelie Gyrard,gyrard@eurecom.fr,4a1c567e-3b33-4df0-b165-434ce2032dad,False,notspecified,License not specified,,Amelie Gyrard,gyrard@eurecom.fr,2014-09-17T13:17:23.735574,2014-09-17T13:21:36.678977,naturopathy2,"To find description of ingredients (food), their nutrients, their color, when they are recommended for diseases, diets, illnesses. Descriptions of food recommended for body organs (muscle, ligament, eye, liver, heart). Descriptions of food recommended for diseases, illnesses, diets. Descriptions of food recommended for emotions (chocolate is recommended for stress, sadness). Descriptions about food and their season. Descriptions about food and their color. Season (Summer, Winter, Spring, Autumn) Food (Meat, Vegetable, Fruit, Fish, Dairy Product, etc.) ",2,18,e325b5f2-976f-4d23-9ea9-c0f29a55cc7d,False,19612891-1594-428c-8146-e693718bf592,active,Naturopathy,dataset,,
218,Amrapali Zaveri,zaveri@informatik.uni-leipzig.de,476fc1ee-5bd8-4551-bf67-4fe4e7fa349b,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Amrapali Zaveri,zaveri@informatik.uni-leipzig.de,2013-06-11T11:47:42.552185,2014-09-16T12:28:56.908973,linked-uspto-patent-data,"Linked Data version of the US Patent and Trademark Office (USPTO) data.
Number of triples: c.a 187 million
Links to other datasets: DBpedia, EUPatents, WorldBank",2,4,e959733d-c3fb-4bdc-80c1-16a3b7026df3,False,4d519a6c-2705-4078-a3be-224df995e28d,active,USPTO Patent data,dataset,http://aksw.org/Projects/USPatents.html,1.0
219,Nelson Piedra,nopiedra@utpl.edu.ec,817ecc10-f4a8-478e-a1d6-e803dc3c6adc,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,,,2014-08-09T04:52:12.695533,2014-09-12T02:41:48.811340,opendataec,"Open Data Ecuador Linked Open Data includes data about intellectual production of Ecuador. The data was published in RDF format according to the design issues of Linked Open Data. Data can be accessed from a SPARQL endpoint. 
## Data: ##
* Academic Articles: 6468
* Affiliations: 3121
* Authors: 22030 
##Creator:##
Nelson Piedra @nopiedra
##Collaborators:##
* Elizabeth Cadme
* Janneth Chicaiza
* Eduardo Encalada
* Richard Guaya
* Jorge Lopez-Vargas
* Diana Torres",1,16,d2cce2e1-02be-4cca-9d94-c355d8dc1ea0,False,cc3679ff-c0fc-49f3-ae60-c8ac25e6531b,active,Open Data of Ecuador,dataset,,
220,,,8327ddc5-accd-4e2c-a954-c3ad79e11ce7,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Ceri Binding,ceri.binding@southwales.ac.uk,2014-06-26T11:34:59.372623,2014-09-09T15:01:08.340598,english-heritage-periods-list,English Heritage Periods List,9,9,4ae643b6-8659-4441-aa34-a5e04b998783,False,eb04de85-d560-4394-b1fd-c98e6a3233eb,active,English Heritage Periods List,dataset,,
221,,,850de544-20d2-4de3-814a-9f53cd92cdae,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-20T08:44:54.586120,2014-09-09T10:29:14.358576,english-heritage-archaeological-sciences-thesaurus,"SKOS RDF representation of the English Heritage Archaeological Sciences thesaurus. Used for recording the techniques, recovery methods and materials associated with archaeological sciences.",9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,dd7930d8-359e-4b71-a80f-03c202a53478,active,English Heritage Archaeological Sciences Thesaurus,dataset,,
222,,,98cb93a3-0aa1-4843-886c-c8f7d63eab33,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T10:38:02.351378,2014-09-09T10:28:56.364918,english-heritage-event-types-thesaurus,"Terminology used for recording archaeological and architectural investigative, data collection exercises; from intrusive interventions to non damaging surveys",9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,21977188-33d1-4f13-86ae-59e5b13454eb,active,English Heritage Event Types Thesaurus,dataset,,
223,,,3694c21f-cab8-4cf9-9ba3-74d7fb8abd2d,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T10:54:13.137447,2014-09-09T10:28:36.901173,english-heritage-maritime-craft-thesaurus,A thesaurus of craft types which survive as wrecks in English Heritage's maritime record,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,7e386ec4-0344-4f86-99ee-e3f5e9bbcc38,active,English Heritage Maritime Craft Thesaurus,dataset,,
224,,,3f2a8b66-f9ce-414d-9a37-9b724e4b35b9,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T11:05:41.692236,2014-09-09T10:28:08.800273,english-heritage-building-materials-thesaurus,Thesaurus of main constructional material types (eg. the walls) for indexing of monuments,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,82b07e0e-a96f-4924-9383-f2d8b13094f4,active,English Heritage Building Materials Thesaurus,dataset,,
225,,,b81998f7-f64e-4cb1-bcea-3bbfc31cfbc7,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T11:14:15.785328,2014-09-09T10:27:49.291564,english-heritage-evidence-thesaurus,"Terminology covering the existing physical remains of a monument, or the means by which a monument has been identified where no physical remains exist",11,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,6bb6e6f7-cb9c-4df4-a262-5b874e2ed7ee,active,English Heritage Evidence Thesaurus,dataset,,
226,,,27a38455-c5a1-491d-93a0-b2aa8f93a6e2,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T11:28:13.565283,2014-09-09T10:27:31.202993,english-heritage-components-thesaurus,Terminology covering divisions and structural elements of a building or monument,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,72b10b29-bb9f-4aff-9322-1ddac84b7b6d,active,English Heritage Components Thesaurus,dataset,,
227,,,5095b031-3498-4e54-964a-de0291f1352d,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T11:40:43.360534,2014-09-09T10:26:53.712937,english-heritage-monument-types-thesaurus,Classification of monument type records by function,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,00390f7a-e742-4fcd-a27b-e06184e4bc9a,active,English Heritage Monument Types Thesaurus,dataset,,
228,,,da2698b2-8413-45b2-b796-b4f0eec04eb0,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T11:46:53.190390,2014-09-09T10:26:35.059371,fish-archaeological-objects-thesaurus,Originally developed by the Archaeological Objects Working Party and published by the mda. It provides guidance for the recording of archaeological objects in Britain and Ireland covering all historical periods. Now maintained by FISH on behalf of the heritage sector,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,7e6da6bc-4fbf-4ca5-bf82-41d4d8ed799b,active,FISH Archaeological Objects Thesaurus,dataset,,
229,,,3b1d800b-7243-4718-8425-de41ef900d29,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T11:55:09.280384,2014-09-09T10:26:17.623334,rcahmw-monument-types-thesaurus,Classification of monument types in Wales by function,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,1025896e-7b6e-431e-a48b-df1a2b1fac43,active,RCAHMW Monument Types Thesaurus,dataset,,
230,,,c6275aad-cb43-4584-96cd-4c1a180e4e59,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2014-06-26T12:02:13.329601,2014-09-09T10:25:57.922937,rcahmw-periods-list,A list of periods for use in Wales,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,59fc1b9a-2587-4238-abba-973eb1172f6e,active,RCAHMW Periods List,dataset,,
231,,,e20190c1-d441-43e1-a398-cadd09c5eb55,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2014-06-26T12:08:01.803577,2014-09-09T10:25:29.882932,rcahms-maritime-craft-thesaurus,"Types of craft that survive as wrecks, or are documented as losses, in Scottish maritime waters",9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,79370caa-08df-482a-a1e0-310ab02d70e2,active,RCAHMS Maritime Craft Thesaurus,dataset,,
232,,,bda8cdae-8985-42eb-b01f-b8d3d77f3f8a,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2014-06-26T12:13:43.784876,2014-09-09T10:25:02.865815,rcahms-monument-types-thesaurus,Monument types relating to the archaeological and built heritage of Scotland,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,5fd604fd-3177-4a1d-b9f9-0cf840814f74,active,RCAHMS Monument Types Thesaurus,dataset,,
233,,,f0574286-00e1-4275-a8ea-92e3527b46ed,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2014-06-26T12:19:49.285660,2014-09-09T10:24:12.619246,rcahms-archaeological-objects-thesaurus,Objects made by human activity,9,2,4ae643b6-8659-4441-aa34-a5e04b998783,False,40f6a6e1-d6dd-47d8-9de5-9b768b09d008,active,RCAHMS Archaeological Objects Thesaurus,dataset,,
234,"Reload Team: Archivio Centrale dello Stato, Istituto per i Beni culturali dell’Emilia-Romagna, regesta.exe",,749ff6a3-b2a2-429e-964f-e898e8fdd164,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,silvia mazzini,smazzini@regesta.com,2014-08-01T11:05:14.083709,2014-09-05T13:13:32.898146,reload,ReLoad project will foster experimentation with the technology and methods of linked open data for archival resources and its goal is the creation of a web of linked archival data,13,6,bcab43dc-b37c-4ac2-994d-67c989840649,False,d2495712-af26-4bda-8b17-6b82a25ef3a1,active,Repository for Linked Open Archival Data,dataset,,
235,,,054072c6-fae2-42f1-a5d6-e42971764d84,False,notspecified,License not specified,,,,2014-09-03T08:26:14.210382,2014-09-03T08:52:25.653215,imagesnippets,"Contains descriptions of a variety of photographic images, using properties defined by the Lightweight Image Ontology.",7,4,42a09353-15c7-4024-a96a-ca5c471df00d,False,40477696-0af3-43d8-bcda-65574d42c5e8,active,Imagesnippets Image Descriptions,dataset,,
236,JC Moissinac J Deslis,moissinac@enst.fr,65f0460e-4ef3-4320-bb9c-5d84f01885ca,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,Jean-Claude Moissinac,moissinac@enst.fr,2014-08-08T12:07:56.297346,2014-09-02T11:24:26.081877,french-school-system,Ontology about the french school system,1,6,110cdfc0-c0bd-49f7-bbb7-aac18ecd184a,False,6d3ecae0-c3ff-4004-9d95-15861d880553,active,French School System,dataset,,
237,JC Moissinac J Deslis,moissinac@enst.fr,8d63bcc2-a063-4e6f-9219-61c1d06ed70d,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,Jean-Claude Moissinac,moissinac@enst.fr,2014-08-08T22:28:11.468048,2014-09-02T11:18:53.228870,french-school-program,"Generic ontology dedicated to the description of french school curiculum.
Included in detailed ontologies for each subject and level of education",1,5,110cdfc0-c0bd-49f7-bbb7-aac18ecd184a,False,60b1abf6-fb0b-4e3d-ae07-eef3835aed9f,active,French School Program,dataset,,
238,Nelson Piedra,nopiedra@utpl.edu.ec,ff13d086-e807-42fb-b05d-280386ae6d86,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,Nelson Piedra,nopiedra@utpl.edu.ec,2014-08-09T04:40:33.743828,2014-08-27T00:39:47.229123,serendipity,"Serendipity Linked Open Data includes data about OpenCourseWare and Open Educational Resources. The data was published in RDF format according to the design issues of Linked Open Data. Data can be accessed from a SPARQL endpoint. 
## Data: ##
* OCW Institutions: 262
* OCW Repositories:  80
* Localities: 221
* OCW: 15000
* OER: 70000
## Demographics: ##
* Open Educational Resources are in different languages: English, Spanish, Catalan, Arabic, Chinese, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Indonesian, Italian, Japanese, Korean, Macedonian, Persian, Polish, Portuguese, Russian, Slovenian, Swedish, Thai, Turkish, Vietnamese
* OER Providers are from different countries: Afghanistan, Australia, Belgium, Brazil, Canada, Chile, China, Colombia, Costa Rica, Denmark, Dominican Republic, Ecuador, Finland, France, Germany, Greece, India, Indonesia, Iran, Israel, Italy, Japan, Kenya, Malaysia, Mexico, Netherlands, Nigeria, Oman, Pakistan, Panama, Peru, Poland, Portugal, Puerto Rico, Republic of Macedonia, Russia, Saudi Arabia, Slovenia, South Africa, South Korea, Spain, Sweden, Switzerland, Taiwan, Thailand, Turkey, United Arab Emirates, United Kingdom, United States, Venezuela and Vietnam.",1,14,921a8e2a-1a6a-48b7-87c2-eafa3b2233c8,False,1a573b4d-a616-441f-8825-9976a3565249,active,Serendipity,dataset,,
239,Nelson Piedra,nopiedra@utpl.edu.ec,0a9abf25-414a-4462-8f19-a982dae147ae,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,,,2014-08-09T03:56:55.542317,2014-08-27T00:38:43.423595,utpl-lod,"Linked Open Data from the Universidad Técnica Particular de Loja (UTPL), Loja, Ecuador includes data about its academic structure. The data was published in RDF format according to the design issues of Linked Open Data. Data can be accessed from a SPARQL endpoint. 
## Data: ##
* Institution: 1
* Person: 19
* Campus: 86
* skos:Concept: 395
* School: 31
* Faculty: 7
* Research Group: 59
* Department: 17
* Course: 1749
* Programme: 233
* Organizational Unit: 17
* Study Program: 101
##Collaborators:##
* Elizabeth Cadme
* Janneth Chicaiza
* Eduardo Encalada
* Jorge Landacay
* Jorge Lopez-Vargas
* Diana Torres
",1,18,c8115cab-28bd-433f-b7b4-d5836b64e1fc,False,04b47ac1-1311-419a-86da-c23e0b265dfc,active,Universidad Técnica Particular de Loja - Linked Open Data,dataset,,
240,North Rhine-Westphalian Library Service Center,semweb@hbz-nrw.de,7fb2cc6f-95e2-4613-8e32-46a967334a35,False,notspecified,License not specified,,North Rhine-Westphalian Library Service Center,semweb@hbz-nrw.de,2010-09-03T11:52:23.177120,2014-08-22T13:36:54.503033,lobid-organisations,"lobid-organisation is an Index of libraries and related organisations
It provides URIs for > 44 k  *library-organisations* and *museums*.The URIs are based on the existing and well established International Standard Identifier for Libraries and Related Organizations (*ISIL*) which can also act as MARC Organization Codes. They are assigned to library institutions by national or institutional agencies. There are ca. **44.000** institutions described.

You can find additional information about this data [here](https://wiki1.hbz-nrw.de/pages/viewpage.action?pageId=1572888).",4,24,72f52a9e-10c7-47bc-a103-8fa8941ed450,False,68db47ec-4520-4eff-a15d-d3c998416cdc,active,lobid-organisations,dataset,http://lobid.org/organisation,13.05.27
241,Rob Warren,warren@muninn-project.org,a853807f-9ec8-4eea-82f5-500a1205f730,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Rob Warren,warren@muninn-project.org,2012-04-05T20:11:21.103899,2014-08-18T17:07:37.488868,muninn-world-war-i,"The Muninn Project is a multi-disciplinary, multi-national, academic research project investigating millions of records pertaining to the First World War in archives around the world.",9,30,9c4db6bc-06b2-44e1-9287-7d6404e3fee0,False,bca66bb5-8cfa-4607-b8fa-626b8de22471,active,Muninn World War I,dataset,rdf.muninn-project.org,2013-01-15
242,ECS /  Southampton University,webmaster@ecs.soton.ac.uk,b3fbae72-9b2d-4f67-9847-574356a6cd58,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2010-09-02T20:24:12.708812,2014-08-18T15:07:14.877699,southampton-ecs-eprints,This is live data produced by the EPrints server since its upgrade to EPrints v3.2.1 and is distinct from the service provided by RKB Explorer.,3,25,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,2a2dd9f1-b330-4979-a69c-778249529bb5,active,ECS Southampton EPrints,dataset,http://eprints.ecs.soton.ac.uk/,
243,,,a20dabce-b0f8-4625-a03a-2772e63a1d57,False,notspecified,License not specified,,Ruben Verborgh,ruben.verborgh@ugent.be,2014-07-29T14:58:38.151891,2014-08-18T09:00:59.389059,multimedia-lab,"Linked Open Data from Multimedia Lab, a research group of Ghent University – iMinds, Belgium.",3,2,444970d1-0bb4-4ec1-8b04-f0bc750b9a1f,False,61b438aa-b1f4-4cf6-89f6-4cedf9e95bbb,active,Multimedia Lab,dataset,,
244,Javier D. Fernández,jfergar@infor.uva.es,a90d680b-7eaf-43bc-bc65-9712d12cf90b,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,Miguel A. Martínez-Prieto,migumar2@infor.uva.es,2011-04-12T17:36:44.504953,2014-08-15T15:46:08.621100,2001-spanish-census-to-rdf,"This site offers information of the conversion process of a 5% sampling of the 2001 Spanish census from a plain useless format to RDF, a semantic representation supported by different products, services and protocols.",9,6,6d596664-4741-4651-8092-a7980f7d9959,False,e6ff154c-fa64-4082-b31f-c3b2efed23c2,active,2001 Spanish Census to RDF,dataset,http://dataweb.infor.uva.es/census2001,
245,Daniel Revilla,danrevi@gmail.com,09e17244-0852-4509-bedc-9455acf07680,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,Javier D. Fernández,jfergar@infor.uva.es,2014-08-05T14:20:15.771450,2014-08-15T15:45:25.399618,dataturcyl-lod-for-tourists-in-castilla-y-leon-spain,"The aim of this project, called DATATURCYL, is to reuse and redistribute open data provided by the Junta de Castilla y León to enrich and enhance information services about tourism in the community. To provide them with an added value, this project embraces the Linked Open Data philosophy. In our particular case, the information for tourism (bars, restaurants, hotels, etc.) is converted to RDF and enriched with geographic data sources and open knowledge in Dbpedia.",11,2,6d596664-4741-4651-8092-a7980f7d9959,False,dd4c6221-7950-478d-8188-47c1f7c4e98f,active,DATATURCYL - LOD for tourists in Castilla y León (Spain),dataset,,
246,Samples Phenotypes and Ontologies Team,,b4eb8897-a892-4e92-8fcc-609e168638fb,True,other-pd,Other (Public Domain),,Samples Phenotypes and Ontologies Team,jupp@ebi.ac.uk,2014-07-25T11:37:27.274575,2014-08-15T09:56:26.718697,gene-expression-atlas-rdf,The Gene Expression Atlas RDF provides information on gene expression patterns under different biological conditions. Gene expression data is re-analysed in-house to detect genes showing interesting baseline and differential expression patterns.,3,10,3b9d8f87-dbbb-4ae4-9ba4-0dbee0c3baf7,False,b22340f6-34ba-477a-9dff-dc7d1e80ada5,active,Gene Expression Atlas RDF,dataset,,
247,EMBL-EBI Chemogenomics Team,,c04a3712-7ced-4895-97c5-d71b80d72e50,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,,,2014-07-25T09:16:27.829780,2014-08-15T09:56:01.203979,chembl-rdf,"ChEMBL is a database of bioactive drug-like small molecules, it contains 2-D structures, calculated properties (e.g. logP, Molecular Weight, Lipinski Parameters, etc.) and abstracted bioactivities (e.g. binding constants, pharmacology and ADMET data). The data is abstracted and curated from the primary scientific literature, and cover a significant fraction of the SAR and discovery of modern drugs.

It is available in RDF form through EMBL-EBI's RDF Platform.",3,9,3b9d8f87-dbbb-4ae4-9ba4-0dbee0c3baf7,False,8192479e-be21-4f52-a66d-d79d51d57591,active,ChEMBL RDF,dataset,,
248,,,93575951-aaa3-45f0-8dfc-6bd9b69c61b3,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2014-07-28T13:21:19.589201,2014-08-15T09:55:31.275244,biomodels-rdf,"BioModels Database is a reliable repository of computational models of biological processes. It hosts models described in peer-reviewed scientific literature and models generated automatically from pathway resources (Path2Models). A large number of models collected from literature are manually curated and semantically enriched with cross-references from external data resources.

BioModels Linked Dataset captures the content of the models in BioModels Database (primarilly encoded in the SBML format) in RDF.",3,8,3b9d8f87-dbbb-4ae4-9ba4-0dbee0c3baf7,False,2379a6e5-e45b-44d4-ae02-9453af3d0797,active,BioModels RDF,dataset,,
249,Reactome Consortium,,cc3221d7-1ebd-4ae0-b22b-c42dc852b1fc,True,other-open,Other (Open),,,,2014-07-25T17:04:33.115703,2014-08-15T09:55:21.186466,reactome-rdf,BioPAX representation of the Reactome database,3,10,3b9d8f87-dbbb-4ae4-9ba4-0dbee0c3baf7,False,fcf44a0d-7ed4-4183-a981-9ea6f3724402,active,Reactome RDF,dataset,,
250,Kai Eckert,kai@informatik.uni-mannheim.de,774d32dd-7182-42ac-ae3f-e081d77411c9,False,notspecified,License not specified,,Kai Eckert,kai@informatik.uni-mannheim.de,2014-08-07T09:07:22.549003,2014-08-15T09:55:17.885902,judaicalink,Linking encyclopediae on Jewish culture and history.,2,2,5d0aec3a-4bf7-401e-a4d1-7e712cc342c6,False,262f135e-81e8-4567-bede-d60e6c9846d0,active,JudaicaLink,dataset,,
251,Muhammad Saleem,saleem.muhammd@gmail.com,0009bd01-6955-4e4f-be27-4159f3587d94,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,Aftab Iqbal,aftab.iqbal@deri.ie,2014-07-25T11:56:26.161292,2014-08-15T09:10:06.622782,linked-tcga,"Linked TCGA is the RDF version of  the Cancer Genome Atlas, a pilot project
started in 2005 by the National Cancer Institute (NCI) and the National Human Genome Research Institute (NHGRI). The goal of this project is to catalogue the genomic alternations found in all cancers. Currently, Linked TCGA contains a total of 20.4 billion triples from 27 different cancer types. New data coming frequently. ",2,4,e959733d-c3fb-4bdc-80c1-16a3b7026df3,False,8ad98fde-17b8-4227-a220-5d9d35dc12d1,active,Linked TCGA,dataset,,
252,Universidad de Cuenca,victor.saquicela@ucuenca.edu.ec,86ad0f70-b45c-4bd6-b0bb-f59bf85aa665,False,notspecified,License not specified,,Víctor Saquicela,vsaquicela@gmail.com,2014-08-01T21:58:45.223983,2014-08-12T17:09:03.551237,geoecuador,Ecuadorian geospatial LD dataset,4,3,0382f46b-086c-49dd-8331-1177de183dd5,False,b2d81213-3812-401d-8c28-74c483ee2160,active,GeoEcuador,dataset,,
253,"Víctor Rodríguez-Doncel, Serena Villata",victorr@ac.upc.edu,6ef37012-9fd8-41b3-845a-be09670f5058,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,"Víctor Rodríguez Doncel, Serena Villata",victorr@ac.upc.edu,2014-06-18T23:04:56.374613,2014-08-12T09:19:20.039386,rdflicense,"This dataset contains 126 licenses (suitable for general works, data, etc.) expressed as RDF. The official URI of the dataset is: 

http://purl.org/NET/rdflicense

(it implements content negotiation).
Individual licenses can be also accessed directly. For example, the Creative Commons CC-BY 3.0 for Greece can be found as: http://purl.org/NET/rdflicense/cc-by-3.0-gr etc.)

This work is the joint effort of OEG-UPM (Víctor Rodríguez-Doncel) and INRIA (Serena Villata).

The editors have not acted in behalf of any of the license issuers, do not claim the legal value of this RDF-version of the licenses, and explicitly decline any responsibility in their use.
",6,3,449873a1-c92e-4942-9843-b79b1053211b,False,aa51d7d9-7ec2-4622-9789-e6ed18107be2,active,RDFLicense,dataset,,
254,Universidad de Cuenca,hernan.gonzalezt@ucuenca.edu.ec,88267ffd-0c51-400d-9f2d-06189e6bcb15,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,Victor Saquicela,victor.saquicela@ucuenca.edu.ec,2014-08-10T15:02:41.538956,2014-08-11T22:48:22.988146,universidad-de-cuenca-linkeddata,"Linked Data from the ""Universidad de Cuenca, Cuenca, Ecuador""  includes data about its academic structure and researchers. ",3,4,0382f46b-086c-49dd-8331-1177de183dd5,False,12246e76-1526-4c6c-ab2f-322a8c474eee,active,Universidad de Cuenca - LinkedData,dataset,,
255,Bio2RDF,bio2rdf@googlegroups.com,10523523-3330-4a82-9e27-e24ee5821df7,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,François Belleau,,2012-09-18T03:20:31.092054,2014-08-11T18:50:21.951968,bio2rdf-inoh," Is a pathway database of model organisms including human, mouse, rat and others. In INOH, the term pathway refers to higher order functional knowledge such as relationships among multiple bio-molecules that constitute signal transduction pathways or biological events in general. As most part of this knowledge resides in scientific articles, the database focuses on curating and encoding textual knowledge into a machine-processable form.",2,4,eb154678-e315-4a13-a159-baa5e50d7fa3,False,b0f9a427-9302-4e1d-92d3-2377a5bda501,active,Bio2RDF::INOH,dataset,,
256,Bio2RDF,bio2rdf@googlegroups.com,fd130b65-2612-43ff-87a2-c205b933b005,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Michel Dumontier,michel.dumontier@gmail.com,2012-09-14T18:46:00.082718,2014-08-11T16:42:05.357197,bio2rdf-chembl,"ChEMBL is a database of bioactive compounds, their quantitative properties and bioactivities (binding constants, pharmacology and ADMET, etc). The data is abstracted and curated from the primary scientific literature.",18,11,eb154678-e315-4a13-a159-baa5e50d7fa3,False,d43aa4f2-74b7-4fa5-9a1f-bb8c2be085b0,active,Bio2RDF::Chembl,dataset,http://chembl.bio2rdf.org/,
257,Bio2RDF,bio2rdf@googlegroups.com,080a7fbc-caa1-40ad-a0e0-66020b4ac41e,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Michel Dumontier,michel.dumontier@gmail.com,2014-08-06T13:16:54.643946,2014-08-11T16:41:38.571305,bio2rdf-wikipathways,WikiPathways is a resource providing an open and public collection of  pathway maps created and curated by the community in a Wiki like style. All content is under the Creative Commons Attribution 3.0 Unported license.,18,11,eb154678-e315-4a13-a159-baa5e50d7fa3,False,02d03d4a-5a11-41c8-909f-285ee6acbfa3,active,Bio2RDF::Wikipathways,dataset,http://wikipathways.bio2rdf.org/,
258,Bio2RDF,bio2rdf@googlegroups.com,d1ef2631-f1fa-418c-afcb-ab75688a02ea,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Michel Dumontier,michel.dumontier@gmail.com,2013-12-09T06:36:37.862578,2014-08-11T16:41:05.794799,bio2rdf-pathwaycommons,Pathway Commons is a convenient point of access to biological pathway information collected from public pathway databases,9,11,eb154678-e315-4a13-a159-baa5e50d7fa3,False,d290630f-de69-433b-a94c-5ff788eebbde,active,Bio2RDF::Pathwaycommons,dataset,http://pathwaycommons.bio2rdf.org/,
